t,X,Y,yaw,vx,vyaw,P_yaw
0.38,5.104927993614318e-05,1.9468652329235143e-07,0.003150052580156085,-0.005295422326595203,0.006617556942117076,0.00019154266818235353
0.38,5.104927994702592e-05,1.946828820646868e-07,0.003146955146181796,-0.005295422326595203,0.0061509952514030375,0.00019153293435385506
0.39,3.7574228698007617e-06,4.60396063582966e-08,0.00319807165577583,0.002403174973580234,0.0031161700846931858,0.0001965443414163341
0.4,2.972810608861595e-05,1.290895881091851e-07,0.0032305558013986323,0.005039653391687819,0.0033153678966974655,0.00020157188983503218
0.4,2.9728106020059753e-05,1.2910923599812573e-07,0.0032533950617636433,0.005039653391687819,0.006755610374506407,0.00020156215600653372
0.41,7.926136083875614e-05,2.901972613804263e-07,0.00331766088807601,0.003866240110435859,0.005794868411032909,0.00020657356306901274
0.42,0.00011796717636683134,4.201127400499827e-07,0.0034752387570371798,0.0039255654992238235,0.020801858491956114,0.0002116011114877108
0.42,0.00011796717954989657,4.1914724105149144e-07,0.003411214344637095,0.0039255654992238235,0.011157960238010857,0.00021159137765921235
0.43,0.00015338981320505072,5.394776253962692e-07,0.00349834397741265,-0.0012857773492211746,0.004018710650327767,0.0002166027847216914
0.44,0.00013869583854060386,4.879204892005458e-07,0.0034655914256279917,-0.003782516718091415,-0.00696807730815815,0.00022163033314038946
0.44,0.00013869583845853504,4.879460861059036e-07,0.0034769650231905322,-0.003782516718091415,-0.005254889891629576,0.000221620599311891
0.45,0.00010179285330518563,3.5985459694507635e-07,0.003409024510818331,-0.0025289613559214144,-0.009749151921239046,0.00022663200637437005
0.46,8.153292457783578e-05,2.907007100695223e-07,0.003322532040498795,0.0043095590813945345,-0.008092382191748838,0.00023165955479306812
0.46,8.153292490430075e-05,2.906057969896785e-07,0.0033319550504409844,0.0043095590813945345,-0.006673008772739191,0.00023164982096456966
0.47,0.00012322875491178463,4.2965208400535857e-07,0.003274710570805266,0.0024066700625146936,-0.0039032661205933867,0.00023666122802704868
0.48,0.0001473278333499829,5.084097560412157e-07,0.0032188103660459435,0.002450867982506909,-0.006443998127727869,0.00024168877644574675
0.48,0.0001473278324534904,5.086827973842266e-07,0.003247549130622373,0.002450867982506909,-0.002115122451567775,0.0002416790426172483
0.49,0.00016788588175864277,5.75201268110602e-07,0.0032089677964123155,-0.002920515416604497,-0.007204613582292688,0.0002466904496797273
0.5,0.00014295443978478805,4.950670704997484e-07,0.003172435752545427,0.0028901216923224726,-0.0018551808180361038,0.00025171799809842535
0.5,0.0001429544397941113,4.950641264515831e-07,0.0031731738543951224,0.0028901216923224726,-0.0017440016775696324,0.0002517082642699269
0.51,0.00016859834394483908,5.761464623375543e-07,0.0031273745537685003,-0.0015385546207323138,-0.010024748394817169,0.0002567196713324059
0.52,0.00015362509798971818,5.291349263318776e-07,0.0031608760915704456,-0.0009780651717496707,0.010121659966770974,0.0002617472197511039
0.52,0.00015362509777903894,5.292041849151515e-07,0.0031110203096449446,-0.0009780651717496707,0.002611960615593826,0.0002617374859226055
0.53,0.00014997648966751188,5.176438913643872e-07,0.0031859709007854126,0.007359428283337011,0.01687032555654812,0.00026674889298508445
0.54,0.00021830489332864468,7.353873627629112e-07,0.003356027964431513,0.00020007417782145782,0.017074247574657007,0.0002717764414037825
0.54,0.00021830489514349817,7.348186869038698e-07,0.003323785170914282,0.00020007417782145782,0.012217565436599154,0.00027176670757528406
0.55,0.0002200485268147542,7.406967355440285e-07,0.0034561775248155018,-0.0001494956982770967,0.015200782558095191,0.000276778114637763
0.56,0.00021700305740091636,7.301201568605639e-07,0.003567409095249672,-0.0022576964266690755,0.009058718288061311,0.00028180566305646107
0.56,0.00021700305752156876,7.30081800949599e-07,0.0035436962419420673,-0.0022576964266690755,0.005486887855940655,0.00028179592922796264
0.5700000000000001,0.0001952944004697706,6.536240356742065e-07,0.0035414995953793197,-0.001077273489385675,-0.011175915136803546,0.0002868073362904416
0.58,0.00018209905839753636,6.067251959062947e-07,0.003464173201439717,-0.004371318343045475,-0.005989362120627299,0.0002918348847091396
0.58,0.000182099059663186,6.063692665797132e-07,0.003537086477564471,-0.004371318343045475,0.004993451933407079,0.00029182515088064116
0.59,0.00014111266381394905,4.621102943628206e-07,0.003550233061713472,-0.0006641488668556587,-0.005748412181336401,0.0002968365579431201
0.6,0.00012818991973718202,4.160904224791516e-07,0.00351480445932012,-0.009204656523642852,-0.0024262233903584746,0.00030186410636181817
0.6,0.00012818991956415438,4.161392746395751e-07,0.003507447791900968,-0.009204656523642852,-0.003534346829822049,0.00030185437253331973
0.61,4.5436101473661915e-05,1.2450785781302182e-07,0.003507714904515022,0.0034296576616646545,0.006863736652775192,0.0003068657795957987
0.62,7.832041715689392e-05,2.398690695087759e-07,0.003566947606863715,0.001509732574249558,0.005447126627702246,0.00031189332801449674
0.62,7.832041707980278e-05,2.3989094800610055e-07,0.003550062784453424,0.001509732574249558,0.00290379193306686,0.0003118835941859983
0.63,9.446223985011592e-05,2.971622462224688e-07,0.0035735786485187136,0.0029300356207915463,0.0012913837618444659,0.00031689500124847727
0.64,0.00012262073449320716,3.9737614538955587e-07,0.003539734574924671,0.0013777301298516203,-0.005751688113339683,0.0003219225496671753
0.64,0.00012262073168921905,3.9816151756964587e-07,0.0036281828949478647,0.0013777301298516203,0.007571145584934744,0.0003219128158386769
0.65,0.0001367895053576192,4.4937511934520224e-07,0.003682654137918445,0.0019101268302800364,0.0013691263804283737,0.00032692422290115584
0.66,0.000155907459066985,5.201673619524061e-07,0.0037502773648345595,0.0019329915660811741,0.00949281460166277,0.0003319517713198539
0.66,0.0001559074588881179,5.202162610850348e-07,0.00375708882298577,0.0019329915660811741,0.01051881401202502,0.00033194203749135545
0.67,0.0001728482785810556,5.838653410812383e-07,0.003861121590487057,-0.0013152134098255717,0.010181451895549575,0.0003369534445538344
0.68,0.0001635860461865151,5.480964963912863e-07,0.003927782126885403,0.0039736516373113685,0.004886261853295096,0.00034198099297253246
0.68,0.00016358604611375449,5.4811303734698e-07,0.003902602993488854,0.0039736516373113685,0.0010935679183405205,0.000341971259144034
0.6900000000000001,0.00019976638787472438,6.89308998593694e-07,0.003912628186327468,-0.0008611760137704223,0.0008277111763168992,0.000346982666206513
0.7000000000000001,0.00018826266908744866,6.443704541699154e-07,0.003959542767868439,-0.0047933871469460175,0.006647613512921727,0.00035201021462521104
0.7000000000000001,0.00018826266906351156,6.443766368718173e-07,0.003963014541403306,-0.0047933871469460175,0.007170561392892428,0.0003520004807967126
0.71,0.00013814588584792138,4.4595120040854824e-07,0.004024865707711297,-0.007761947537520685,0.004293119733354407,0.0003570118878591915
0.72,5.960910461256851e-05,1.311911700670422e-07,0.0040132005359178,-0.009010032811054107,-0.003930646938736551,0.00036203943627788956
0.72,5.960911916347982e-05,1.2756586203072431e-07,0.004161179946863212,-0.009010032811054107,0.01835926294623752,0.0003620297024493911
0.73,-2.381074245740506e-05,-2.1842940895320562e-07,0.00431861152315939,7.218070072557287e-05,0.010720386863735193,0.0003670411095118701
0.74,-2.271026211491097e-05,-2.133845617411028e-07,0.004399980104924478,0.0005870647583241655,0.006828857545189332,0.00037206865793056813
