t,X,Y,yaw
2.38,0.00711623200747283,1.7901519303781892e-05,0.0026734212804202457
2.39,0.0074800168610609594,1.8874071789863058e-05,0.002720433373225802
2.4,0.007891089923371775,1.999237142616379e-05,0.0031615625133580303
2.41,0.008272805634165487,2.119919352909275e-05,0.003012497909864837
2.42,0.008593799999228111,2.2166191308138653e-05,0.0030887456007246484
2.43,0.009007321892941959,2.344345930001418e-05,0.003593419184734231
2.44,0.009529676754895609,2.532050736143329e-05,0.0032505771365411783
2.45,0.009919734953525572,2.6588426089539584e-05,0.0033902531754312205
2.46,0.010295571015715307,2.786261037457047e-05,0.0032885951248458846
2.47,0.010799883596464334,2.952109624778749e-05,0.0027479193040370253
2.48,0.011369428232326015,3.108616288648882e-05,0.0021280261884373724
2.49,0.011859241940862006,3.212850085911711e-05,0.0026175363209962046
2.5,0.01231510631383667,3.332174513799732e-05,0.0024775609810124256
2.51,0.012833179737493252,3.460530626404748e-05,0.0023883239511146783
2.52,0.013428696972282678,3.602759704348983e-05,0.00216766833002758
2.53,0.013852883226403568,3.694709359275366e-05,0.0018756237277457804
2.54,0.014417653952497275,3.800639220954312e-05,0.0021435102683777627
2.5500000000000003,0.014954925718085134,3.915804151979392e-05,0.001733053198431643
2.56,0.015539013366026606,4.017029749965147e-05,0.0017115289782779655
2.57,0.016104945025330896,4.113890688006852e-05,0.0018419761196487078
2.58,0.016714813104700067,4.226227058888077e-05,0.0020971591784361455
2.59,0.01727892603835855,4.344530693973922e-05,0.002500502015684482
2.6,0.017796757187195873,4.474014746986021e-05,0.0020524864516898726
2.61,0.01837373259488964,4.592438334005411e-05,0.0019439147359609
2.62,0.019005367075863158,4.7152228461955495e-05,0.0019242348025895735
2.63,0.019611794360270333,4.831913838808321e-05,0.0019997057714661428
2.64,0.020281611424210037,4.965857722206343e-05,0.002000977531570618
2.65,0.020988224097057688,5.1072495191022425e-05,0.001954199371493584
2.66,0.021672220822391598,5.24091628633053e-05,0.0020490801629119712
2.67,0.022346538514381335,5.379089580330355e-05,0.0019305308339881378
2.68,0.02297020288878942,5.49949006039136e-05,0.0015327020846790176
2.69,0.0236458953809631,5.6030536706234e-05,0.0014372886397479396
2.7,0.024336306844817628,5.70228579432959e-05,0.0016756153419278802
2.71,0.025021991431919077,5.817180263245904e-05,0.0013809462002534905
2.72,0.025758766461315755,5.918924995650768e-05,0.001533535728081186
2.73,0.026583062330966654,6.045333811405936e-05,0.0012853970298946484
2.74,0.02737647572114756,6.147318989095844e-05,0.0009824453070685394
2.75,0.028042345643546008,6.212737088180847e-05,0.0002599572393920358
2.76,0.02873822114068134,6.230826875907923e-05,0.00015208936694615814
2.77,0.02953253007445119,6.242907470290743e-05,0.0007801148144096797
2.78,0.03033278069929632,6.30533621972325e-05,0.00041617580999059745
2.79,0.031068701448184813,6.335963462867242e-05,-5.441224393679242e-05
2.8000000000000003,0.03192259203801324,6.331317252555749e-05,0.00010373636484433324
2.81,0.032678203827028005,6.339155694606457e-05,0.0004719187880784424
2.82,0.03356205279703898,6.380866191180065e-05,0.0005090947215746976
2.83,0.03441502963585874,6.424290795558485e-05,0.0004719272377907698
2.84,0.03523455039592963,6.462966215290932e-05,0.0008005356973932848
2.85,0.036081141007805,6.530738830356885e-05,0.0009753201011849669
2.86,0.03697133774629057,6.617561535192328e-05,0.001066168909509237
2.87,0.03791453309096284,6.718122128503623e-05,0.0015321642067073937
2.88,0.038815858268226394,6.856220054087258e-05,0.001796723488210693
2.89,0.03965295791331754,7.006623875363408e-05,0.001487412527648427
2.9,0.04055907309352175,7.141400681809461e-05,0.0016337351153342269
2.91,0.0415097253934571,7.296712224477432e-05,0.0018408536705377496
2.92,0.04251373593619273,7.481536082536299e-05,0.0017845581802783399
2.93,0.04334969846123716,7.630718617148365e-05,0.002232769928381065
2.94,0.04431885298408632,7.847108884193054e-05,0.0025263611258362377
2.95,0.04530354103002304,8.095877173480878e-05,0.0026836983645430945
2.96,0.046353654192677014,8.377696547777801e-05,0.0031604923203902855
2.97,0.04728840348357481,8.673124326963372e-05,0.0030813059318345487
2.98,0.048197269667272336,8.953174689578737e-05,0.003342963153367148
2.99,0.04918795140009576,9.284357176233133e-05,0.003210154516312974
3.0,0.05022681157167599,9.617848488948402e-05,0.0027457072464340667
3.01,0.051160659547864695,9.874256448823003e-05,0.002880552917921373
3.02,0.05212100151028058,0.00010150888798154189,0.002121019796942929
3.03,0.05312702183636544,0.00010364268020907726,0.0020987827138971896
3.04,0.05417669668903623,0.00010584572287979563,0.0021889846259798246
3.0500000000000003,0.0551781214862647,0.00010803782986627735,0.0023062030326312793
3.06,0.056288413076215515,0.00011059839223764067,0.002781596656770733
3.0700000000000003,0.05739967109617457,0.00011368947180295521,0.002512117377231966
3.08,0.05853853103087561,0.00011655042765339703,0.002660478841734181
3.09,0.05969116189023199,0.00011961698490222967,0.0023524161107239656
