t,rpm_L_measured,rpm_R_measured,vx_computed,vyaw_computed,vx_variance,vyaw_variance
5.08,56.62429276982293,58.38209079487506,0.30108600810232095,0.030679363122213532,1.9739208802178718e-05,0.0008772981689857211
5.09,57.85387576448268,56.92722702537937,0.3004962244129713,-0.016173071506806656,1.9739208802178718e-05,0.0008772981689857211
5.1000000000000005,55.42262948948898,56.57402653921151,0.29320655983865707,0.020095669515406978,1.9739208802178718e-05,0.0008772981689857211
5.11,56.93899147784515,59.34390068158508,0.30442789978853346,0.04197358381677711,1.9739208802178718e-05,0.0008772981689857211
5.12,57.4151524807012,57.55522512466954,0.300991744721231,0.002444728829221384,1.9739208802178718e-05,0.0008772981689857211
5.13,57.19245873089706,58.26163619211717,0.3022581136975001,0.01866066698640497,1.9739208802178718e-05,0.0008772981689857211
5.14,58.244746859110414,57.44426753037598,0.30287313142254524,-0.013970999880569823,1.9739208802178718e-05,0.0008772981689857211
5.15,57.70935378456558,56.59196073197836,0.29924014165069235,-0.019502187806557103,1.9739208802178718e-05,0.0008772981689857211
5.16,58.09777073481191,57.308958984181196,0.302134111883343,-0.013767362226926316,1.9739208802178718e-05,0.0008772981689857211
5.17,56.46973277440541,59.01897233440357,0.3023487229520269,0.04449262374405942,1.9739208802178718e-05,0.0008772981689857211
5.18,58.37315800317497,57.96206760221762,0.30456490842967715,-0.007174881020049299,1.9739208802178718e-05,0.0008772981689857211
5.19,59.250503850231105,55.24201172140577,0.2997407048423911,-0.06996138568827878,1.9739208802178718e-05,0.0008772981689857211
5.2,56.13160008950062,57.03748616519093,0.29627597499267383,0.01581069466876639,1.9739208802178718e-05,0.0008772981689857211
5.21,56.23054472622484,59.43453206432797,0.3028104629350833,0.05592012824210828,1.9739208802178718e-05,0.0008772981689857211
5.22,58.898720716666595,57.039223278862366,0.30352482760721555,-0.03245435272208238,1.9739208802178718e-05,0.0008772981689857211
5.23,57.06616672904824,55.135205083001296,0.2937425045061931,-0.03370163845324847,1.9739208802178718e-05,0.0008772981689857211
5.24,58.980365183562185,59.567438175589366,0.3103574234435983,0.01024635666040885,1.9739208802178718e-05,0.0008772981689857211
5.25,56.76473665881169,58.114650524857666,0.30075353235426094,0.023560441580827894,1.9739208802178718e-05,0.0008772981689857211
5.26,59.04183420460717,57.21176408250695,0.30435120861014725,-0.03194074917302355,1.9739208802178718e-05,0.0008772981689857211
5.2700000000000005,57.45356249324886,56.85007822978383,0.29924623164503883,-0.010532787381437777,1.9739208802178718e-05,0.0008772981689857211
5.28,57.60565410106955,58.594601828832396,0.3042115586455281,0.017260393979578275,1.9739208802178718e-05,0.0008772981689857211
5.29,59.1734411390862,56.64539943281088,0.3032130155732995,-0.044122651402239886,1.9739208802178718e-05,0.0008772981689857211
5.3,56.86165494014931,58.6736872225015,0.30247081847347235,0.031625929479473514,1.9739208802178718e-05,0.0008772981689857211
5.3100000000000005,56.166432997972365,57.94641385595142,0.29874673446375344,0.03106652659420802,1.9739208802178718e-05,0.0008772981689857211
5.32,56.75750246344829,57.589397823667134,0.299359484918972,0.01451931306788316,1.9739208802178718e-05,0.0008772981689857211
5.33,57.83858025385408,57.47039727948503,0.3018781972597405,-0.0064260051525259305,1.9739208802178718e-05,0.0008772981689857211
5.34,55.4168686264657,57.085817869025306,0.29453134450279184,0.029128659331330575,1.9739208802178718e-05,0.0008772981689857211
5.3500000000000005,58.06074459626366,58.55054765733343,0.30528764922459417,0.008548676102014263,1.9739208802178718e-05,0.0008772981689857211
5.36,56.649253931941026,56.257368114560116,0.29558884530243945,-0.006839697805166023,1.9739208802178718e-05,0.0008772981689857211
