t,X,Y,yaw,vx,vyaw,bias
1.11,-0.0003612558537061274,7.345264929830396e-08,0.00015292273013792202,0.002292686821010205,0.0037417098813155338,0.006474053692632945
1.12,-0.00033921723751867444,4.076543665097167e-08,0.0003624323803811242,0.00108498515461086,0.012439298486443017,0.006348270959532863
1.12,-0.00033921724699758536,1.9238170370823902e-08,0.0003982407681939956,0.00108498515461086,0.007758750010123623,0.006274664159688761
1.13,-0.0003317956444878273,-2.6047295470651786e-08,0.000656080825353492,-0.0035762490642202533,0.01383203253034422,0.006101497418757213
1.14,-0.0003638995467921335,-4.00008036853189e-08,0.0007628036626055137,0.0013981886271697396,0.012238024770570354,0.006124202671566174
1.14,-0.0003638995561640446,-6.547022319108476e-08,0.0008036623827490707,0.0013981886271697396,0.006922654666054073,0.006041888230585095
1.15,-0.00035257305710772335,-5.3922795911023e-08,0.0008643463309110954,-0.0022122418574906963,0.006635569184011329,0.006049953752865593
1.16,-0.000372544154529706,-5.674276711274772e-08,0.0008673422954036498,0.0007128154934304197,0.0034449310744150323,0.006094728044951219
1.16,-0.0003725441530202157,-5.220636290870766e-08,0.0008601226242522796,0.0007128154934304197,0.004379851787340305,0.006108988818092464
1.17,-0.0003656258665952068,-4.115109871463433e-08,0.0008863800206433274,0.00042746590383692634,0.003791830221711567,0.006125270205131898
1.18,-0.00035773363455058525,9.72802876094367e-09,0.0007199190478559908,0.0053461315300608655,-0.00648245419190022,0.00626734484670718
1.18,-0.00035773362719556734,2.9931092527599215e-08,0.0006862772186474376,0.0053461315300608655,-0.002145211647619733,0.006332524054639333
1.19,-0.0003067873657607333,2.78901291691226e-08,0.0008235114414049511,0.0019265495112297942,0.0031614807502586507,0.006187682630658616
1.2,-0.000289849776260462,1.2002914137941616e-08,0.0010415434099078763,-0.0012385827644951653,0.012517133488139823,0.00606017136285522
1.2,-0.0002898497964327833,-1.8637637797739036e-08,0.0011076485963717163,-0.0012385827644951653,0.004030976726223538,0.00593450129942524
1.21,-0.0003009060544831396,-2.036276734130354e-08,0.0011012201621694484,0.0005691671817435228,0.002471650091072413,0.005976464430200479
1.22,-0.00029687226557267914,8.826460718510491e-09,0.0009759235133147116,-0.001685014648386649,-0.005044803077462482,0.00607745710119284
1.22,-0.00029687224098905076,4.751830380533566e-08,0.0008916632337001238,-0.001685014648386649,0.005727318716540739,0.006234689826174344
1.23,-0.0003094969819959591,8.834332639210482e-08,0.0007251622015689147,0.004060071967433762,-0.0017214873297086491,0.0064323722294264115
1.24,-0.0002699406883535941,1.317382136218774e-07,0.0006056714824709819,0.002640001635027013,-0.006837988690930932,0.006500158658903441
1.24,-0.00026994068617925006,1.3464733352159428e-07,0.0005986311160260238,0.002640001635027013,-0.005941520498299465,0.00651305867450285
1.25,-0.00024416545143323836,1.471874280884336e-07,0.0005564076802197024,0.0017905187467673895,-0.005370517866329992,0.006498111599018141
1.26,-0.00021958848426366609,1.4613882193651488e-07,0.0006338107227700884,0.010861925244144715,0.001178352125620858,0.006412542566692367
1.26,-0.00021958849892756669,1.3260734013552856e-07,0.0006755357816940834,0.010861925244144715,-0.004114057330285788,0.00633744729286853
1.27,-0.00012209652761459096,1.9236441860991247e-07,0.0007580432445240834,-0.004267367042214117,-1.6039949594673537e-05,0.006231616375587528
1.28,-0.00016231471912507743,1.5213940008773277e-07,0.0008974698361254835,-0.0009287275180085925,0.006946007663257747,0.006141883156027332
1.28,-0.0001623147342381026,1.452454153764291e-07,0.0009331453580605738,-0.0009287275180085925,0.002437875659447558,0.006078795082508972
1.29,-0.00017066041949418713,1.1035582234043329e-07,0.0012276786853578179,0.0003515845468712198,0.011372881010417888,0.0058511093266291146
1.3,-0.00016801349147073114,1.1415157439635418e-07,0.0013341473404913334,-0.0008298498693335775,0.011011294780818068,0.005855707414556138
1.3,-0.0001680135110290025,1.045871741362655e-07,0.0013820836066924564,-0.0008298498693335775,0.0049758291799672895,0.005772389545599392
1.31,-0.00017367490061305212,4.514839440123534e-08,0.001932732765910034,0.0027558503623653407,0.021508661943862813,0.005356603336326474
1.32,-0.00014745102739212212,1.11118767727937e-07,0.001879151168165747,0.0009412030210099367,0.008146589937308163,0.005524278690629443
1.32,-0.00014745106990061548,9.602613741610191e-08,0.001970111957223978,0.0009412030210099367,-0.0032656063726333173,0.0053688410114583335
1.33,-0.00013846464575704908,1.0684772547108952e-07,0.0020387954051127167,0.0003625794919556618,7.272373549838205e-05,0.00528596835383553
1.34,-0.000139972084629405,9.953584196663267e-08,0.0021276742925109737,-0.006616874505395059,0.0044509310781008,0.0052317432276916395
1.34,-0.00013997209867409023,9.579792925374037e-08,0.0021550710263593185,-0.006616874505395059,0.0010253976228583959,0.0051857010627940235
1.35,-0.00020454993292346536,-5.455537857944967e-08,0.0022542393884805675,-0.0044539604192984205,0.003948825899227189,0.005114052243243972
