t,vyaw_measured,vyaw_variance
6.84,0.005351142747605111,6.4e-05
6.86,0.002121596803982104,6.4e-05
6.88,0.0015173821373618583,6.4e-05
6.9,0.008867676610934145,6.4e-05
6.92,-0.0011500507063557774,6.4e-05
6.94,-0.012041404467792347,6.4e-05
6.96,0.00925703842566621,6.4e-05
6.98,0.010152823983654573,6.4e-05
7.0,0.004402945402578937,6.4e-05
7.0200000000000005,-0.003183223001520071,6.4e-05
7.04,0.006711484327114283,6.4e-05
7.0600000000000005,-0.00571625894650871,6.4e-05
7.08,-0.0022178447735012752,6.4e-05
7.1000000000000005,-5.583492033289089e-06,6.4e-05
7.12,0.012751512567132448,6.4e-05
7.140000000000001,0.003099112396504663,6.4e-05
7.16,0.0024170687057883155,6.4e-05
7.18,0.021637540123289972,6.4e-05
7.2,0.008819699977509712,6.4e-05
7.22,0.008711956083798609,6.4e-05
7.24,0.003042394038329801,6.4e-05
7.26,0.0012290266589057783,6.4e-05
7.28,-0.011491251520137203,6.4e-05
7.3,0.013749924255388467,6.4e-05
7.32,0.009586477646051033,6.4e-05
7.34,0.0045666720542926935,6.4e-05
7.36,0.004902186385309954,6.4e-05
7.38,0.011889154098088441,6.4e-05
7.4,-0.006437680584638825,6.4e-05
7.42,0.0012809493475695556,6.4e-05
7.44,-0.003090422903140244,6.4e-05
7.46,0.020172074259893973,6.4e-05
7.48,0.013005244254826406,6.4e-05
7.5,-0.011621541129082915,6.4e-05
7.5200000000000005,-0.006110093013119804,6.4e-05
7.54,0.00494123461314011,6.4e-05
7.5600000000000005,0.0022204783034206026,6.4e-05
7.58,-0.004595057664615107,6.4e-05
7.6000000000000005,0.021558097901203915,6.4e-05
7.62,0.008500319311860634,6.4e-05
7.640000000000001,0.009798530582904731,6.4e-05
7.66,0.0004638804061422889,6.4e-05
7.68,0.01177819317742402,6.4e-05
7.7,0.002956537912143906,6.4e-05
7.72,0.0037332546103400048,6.4e-05
7.74,0.010888015678602078,6.4e-05
7.76,-0.007031980520482397,6.4e-05
7.78,0.018776222878807862,6.4e-05
7.8,0.007459113717791006,6.4e-05
7.82,0.016247553670243393,6.4e-05
7.84,-0.002603358052950547,6.4e-05
7.86,-0.0013853209922255446,6.4e-05
7.88,-0.003295201772798498,6.4e-05
7.9,0.008002381381318712,6.4e-05
7.92,0.006527866415345969,6.4e-05
7.94,0.002284705446150556,6.4e-05
7.96,-0.002112553543082235,6.4e-05
7.98,-0.004132770157846738,6.4e-05
8.0,0.005612128796234753,6.4e-05
8.02,0.002275305763291199,6.4e-05
8.040000000000001,0.0005151440611339021,6.4e-05
8.06,0.018376715889052875,6.4e-05
8.08,0.005341394574458129,6.4e-05
8.1,0.0161603434714154,6.4e-05
8.120000000000001,0.0017339825385384276,6.4e-05
8.14,0.007958210270389255,6.4e-05
8.16,0.005556191869949321,6.4e-05
8.18,-0.0075809784761449815,6.4e-05
8.2,0.017426706450111303,6.4e-05
8.22,0.004918771143740673,6.4e-05
8.24,0.011971345757063684,6.4e-05
8.26,-1.6229779692475063e-05,6.4e-05
8.28,0.004681244947361883,6.4e-05
8.3,-0.0009348188793868381,6.4e-05
8.32,0.01588798786210715,6.4e-05
8.34,0.008491274779605406,6.4e-05
8.36,0.008936428213447105,6.4e-05
8.38,0.016865473176839833,6.4e-05
8.4,0.015250730375192183,6.4e-05
8.42,0.012122740289090283,6.4e-05
8.44,-0.005373818776299702,6.4e-05
8.46,0.00043456704386653135,6.4e-05
8.48,-0.002031105088090821,6.4e-05
8.5,0.011820269549006394,6.4e-05
8.52,0.007365215534000411,6.4e-05
8.540000000000001,-0.005124099469044758,6.4e-05
8.56,0.004490046295910179,6.4e-05
8.58,-0.005952898685750227,6.4e-05
8.6,0.005574748095441921,6.4e-05
8.620000000000001,-0.007242980031897477,6.4e-05
8.64,0.010230619947076903,6.4e-05
8.66,0.00902370100827259,6.4e-05
8.68,0.021263587946775055,6.4e-05
