t,X,Y,yaw,P_yaw
0.42,0.00015415379584054182,5.896736070641806e-07,0.004532607253902268,0.0003999999999997289
0.42,0.0001541538332355285,5.800872144494013e-07,0.0043913434587917214,0.00019999999999993222
0.43,0.00013746340372778042,5.067933348749712e-07,0.0041828253482771305,0.0002999999999999323
0.44,9.780229193161087e-05,3.408968636022086e-07,0.003869538385809445,0.0003999999999999324
0.44,9.78022960011254e-05,3.403071816747638e-07,0.004011281036670121,0.00019999999999998312
0.45,7.343483821174428e-05,2.4256193607922723e-07,0.003757225945939294,0.0002999999999999832
0.46,0.0001215596561479643,4.2337860152129343e-07,0.003713037097156481,0.0003999999999999833
0.46,0.00012155964481293472,4.267970240058877e-07,0.0038696316237195236,0.00019999999999999584
0.47,0.00014422664676108193,5.145104093679612e-07,0.003927086616982765,0.00029999999999999537
0.48,0.0001687676438531033,6.108855260486092e-07,0.00380631187755342,0.00039999999999999547
0.48,0.00016876762877759063,6.149089003906965e-07,0.0039052778121577997,0.0001999999999999989
0.49,0.000135612204533824,4.854270994874442e-07,0.0036559325105568283,0.000299999999999999
0.5,0.00016878678316884844,6.06711660400516e-07,0.0037559917956279023,0.0003999999999999991
0.5,0.0001687867722188033,6.097735810298358e-07,0.0038629386957541346,0.00019999999999999977
0.51,0.00015014418051788702,5.377580339464436e-07,0.0034742204300957785,0.00029999999999999987
0.52,0.00014077581180806995,5.052101250246825e-07,0.004022136264273805,0.00039999999999999996
0.52,0.000140775811645424,5.052459592819791e-07,0.004004505008959285,0.00019999999999999998
0.53,0.0002205014805318243,8.24509506258527e-07,0.004669917295832193,0.0003000000000000001
0.54,0.0002172367256791729,8.092632602746247e-07,0.004845181262841827,0.0004000000000000002
0.54,0.00021723677139321126,7.976749604646541e-07,0.004526804359610496,0.00020000000000000004
0.55,0.00021548473215120457,7.897437674104313e-07,0.004782736505598052,0.00030000000000000014
0.56,0.00019135751306011636,6.743487560132161e-07,0.0047371378553269635,0.00040000000000000024
0.56,0.00019135750898170183,6.745170399194881e-07,0.004519268323347084,0.00020000000000000006
0.5700000000000001,0.00018145304782551299,6.297558176248762e-07,0.0038270383558885106,0.00030000000000000014
0.58,0.00013531751172940647,4.53192489419488e-07,0.003882144352504462,0.0003999999999999991
0.58,0.00013531755857144098,4.417960336811588e-07,0.004167483140336648,0.00019999999999999977
0.59,0.0001314026376170516,4.2548057215269413e-07,0.0037357919519370687,0.00029999999999999987
0.6,3.307542117098786e-05,5.8148839450977757e-08,0.003785191442902423,0.00039999999999999996
0.6,3.307552938223445e-05,2.984200105647911e-08,0.0040810624127322484,0.00019999999999999998
0.61,7.66639763014921e-05,2.077301609890762e-07,0.0045119307921063405,0.0003000000000000001
0.62,9.03491041602101e-05,2.6947692977298954e-07,0.004534992061998784,0.0004000000000000002
0.62,9.034910149565034e-05,2.703598996935862e-07,0.004479031346046753,0.00020000000000000004
0.63,0.0001206937519449853,4.062754491421852e-07,0.004435774809003259,0.00030000000000000014
0.64,0.00013332924569355354,4.6232402161762244e-07,0.004222094369642559,0.00040000000000000024
0.64,0.00013332922781248834,4.6580114614610464e-07,0.004429563112808228,0.00020000000000000006
0.65,0.00015282186981034835,5.52145598834088e-07,0.004227198821576744,0.00030000000000000014
